Leto;Stevilo;Spol;Skupaj
1961;1500;M;3164
1962;1498;M;3276
1963;1648;M;3330
1964;1674;M;3399
1965;1655;M;3463
1966;1880;M;3784
1967;1917;M;3845
1968;1862;M;3774
1969;1920;M;3823
1970;2051;M;3971
1971;2085;M;4108
1972;2122;M;4273
1973;2218;M;4387
1974;2180;M;4426
1975;2340;M;4713
1976;2503;M;4777
1977;2421;M;4795
1978;2507;M;4914
1979;2553;M;4958
1980;2585;M;5214
1981;2837;M;5372
1982;2762;M;5215
1983;2797;M;5312
1984;2878;M;5508
1985;2847;M;5556
1986;2985;M;5899
1987;2938;M;5895
1988;3069;M;5986
1989;3299;M;6320
1990;3325;M;6509
1991;3406;M;6707
1992;3646;M;7134
1993;3780;M;7419
1994;3825;M;7499
1995;3987;M;7758
1996;3899;M;7808
1997;4384;M;8618
1998;4523;M;8877
1999;4667;M;9034
2000;4693;M;9165
2001;5043;M;9706
2002;5132;M;10002
2003;5337;M;10446
2004;5745;M;11059
2005;5757;M;11181
2006;6068;M;11478
2007;6343;M;12020
2008;6698;M;12531
2009;6857;M;12622
2010;7228;M;13430
2011;7525;M;13484
2012;7453;M;13647
2013;7623;M;14044
2014;7654;M;14072
2015;8082;M;14698
2016;8184;M;15186
1961;1664;Z;3164
1962;1778;Z;3276
1963;1682;Z;3330
1964;1725;Z;3399
1965;1808;Z;3463
1966;1904;Z;3784
1967;1928;Z;3845
1968;1912;Z;3774
1969;1903;Z;3823
1970;1920;Z;3971
1971;2023;Z;4108
1972;2151;Z;4273
1973;2169;Z;4387
1974;2246;Z;4426
1975;2373;Z;4713
1976;2274;Z;4777
1977;2374;Z;4795
1978;2407;Z;4914
1979;2405;Z;4958
1980;2629;Z;5214
1981;2535;Z;5372
1982;2453;Z;5215
1983;2515;Z;5312
1984;2630;Z;5508
1985;2709;Z;5556
1986;2914;Z;5899
1987;2957;Z;5895
1988;2917;Z;5986
1989;3021;Z;6320
1990;3184;Z;6509
1991;3301;Z;6707
1992;3488;Z;7134
1993;3639;Z;7419
1994;3674;Z;7499
1995;3771;Z;7758
1996;3909;Z;7808
1997;4234;Z;8618
1998;4354;Z;8877
1999;4367;Z;9034
2000;4472;Z;9165
2001;4663;Z;9706
2002;4870;Z;10002
2003;5109;Z;10446
2004;5314;Z;11059
2005;5424;Z;11181
2006;5410;Z;11478
2007;5677;Z;12020
2008;5833;Z;12531
2009;5765;Z;12622
2010;6202;Z;13430
2011;5959;Z;13484
2012;6194;Z;13647
2013;6421;Z;14044
2014;6418;Z;14072
2015;6616;Z;14698
2016;7002;Z;15186
