Leto;Stevilo;Stadij;Vsi
1961;0;In situ;3164
1962;0;In situ;3276
1963;0;In situ;3330
1964;0;In situ;3399
1965;0;In situ;3463
1966;1;In situ;3784
1967;0;In situ;3845
1968;1;In situ;3774
1969;4;In situ;3823
1970;11;In situ;3971
1971;2;In situ;4108
1972;0;In situ;4273
1973;0;In situ;4387
1974;1;In situ;4426
1975;1;In situ;4713
1976;0;In situ;4777
1977;0;In situ;4795
1978;0;In situ;4914
1979;0;In situ;4958
1980;0;In situ;5214
1981;0;In situ;5372
1982;0;In situ;5215
1983;0;In situ;5312
1984;0;In situ;5508
1985;0;In situ;5556
1986;0;In situ;5899
1987;0;In situ;5895
1988;0;In situ;5986
1989;0;In situ;6320
1990;0;In situ;6509
1991;0;In situ;6707
1992;0;In situ;7134
1993;0;In situ;7419
1994;0;In situ;7499
1995;0;In situ;7758
1996;0;In situ;7808
1997;0;In situ;8618
1998;0;In situ;8877
1999;0;In situ;9034
2000;0;In situ;9165
2001;0;In situ;9706
2002;0;In situ;10002
2003;0;In situ;10446
2004;0;In situ;11059
2005;0;In situ;11181
2006;0;In situ;11478
2007;0;In situ;12020
2008;0;In situ;12531
2009;0;In situ;12622
2010;0;In situ;13430
2011;0;In situ;13484
2012;0;In situ;13647
2013;0;In situ;14044
2014;0;In situ;14072
2015;0;In situ;14698
2016;0;In situ;15186
1961;107;Omejen;3164
1962;117;Omejen;3276
1963;113;Omejen;3330
1964;128;Omejen;3399
1965;142;Omejen;3463
1966;146;Omejen;3784
1967;182;Omejen;3845
1968;1335;Omejen;3774
1969;1324;Omejen;3823
1970;1273;Omejen;3971
1971;1318;Omejen;4108
1972;1519;Omejen;4273
1973;1624;Omejen;4387
1974;1765;Omejen;4426
1975;1842;Omejen;4713
1976;1872;Omejen;4777
1977;1884;Omejen;4795
1978;1893;Omejen;4914
1979;1915;Omejen;4958
1980;2015;Omejen;5214
1981;2060;Omejen;5372
1982;1934;Omejen;5215
1983;1923;Omejen;5312
1984;1978;Omejen;5508
1985;1974;Omejen;5556
1986;2144;Omejen;5899
1987;2124;Omejen;5895
1988;2081;Omejen;5986
1989;2192;Omejen;6320
1990;2273;Omejen;6509
1991;2500;Omejen;6707
1992;2650;Omejen;7134
1993;2756;Omejen;7419
1994;2840;Omejen;7499
1995;2940;Omejen;7758
1996;3057;Omejen;7808
1997;3529;Omejen;8618
1998;3760;Omejen;8877
1999;3828;Omejen;9034
2000;3863;Omejen;9165
2001;4176;Omejen;9706
2002;4400;Omejen;10002
2003;4629;Omejen;10446
2004;4898;Omejen;11059
2005;4878;Omejen;11181
2006;5090;Omejen;11478
2007;5453;Omejen;12020
2008;5717;Omejen;12531
2009;5815;Omejen;12622
2010;6384;Omejen;13430
2011;6713;Omejen;13484
2012;6704;Omejen;13647
2013;7106;Omejen;14044
2014;6884;Omejen;14072
2015;7351;Omejen;14698
2016;7831;Omejen;15186
1961;18;Razsirjen;3164
1962;19;Razsirjen;3276
1963;24;Razsirjen;3330
1964;26;Razsirjen;3399
1965;27;Razsirjen;3463
1966;29;Razsirjen;3784
1967;41;Razsirjen;3845
1968;1340;Razsirjen;3774
1969;1322;Razsirjen;3823
1970;1701;Razsirjen;3971
1971;1749;Razsirjen;4108
1972;1037;Razsirjen;4273
1973;1060;Razsirjen;4387
1974;1060;Razsirjen;4426
1975;1176;Razsirjen;4713
1976;1134;Razsirjen;4777
