Starost;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
0-04;3;8;2;2;4;2;4;6;3;5;5;4;6;3;1;1;2;4;2;7;2;1;4;1;0;5;3;0;3;0;2;3
05-09;7;3;3;7;7;6;6;6;3;3;12;2;3;4;1;4;3;4;3;2;2;0;0;2;6;3;1;2;1;4;2;1
10-14;8;5;1;3;6;6;7;6;6;5;2;4;7;3;5;2;2;1;1;1;4;2;3;3;1;0;2;4;3;1;1;2
15-19;5;5;8;3;7;4;10;8;2;8;5;7;2;3;12;2;3;7;10;2;5;3;7;5;4;2;0;2;2;2;4;5
20-24;11;10;9;10;8;9;8;11;10;8;7;9;9;11;6;11;6;12;4;6;5;11;6;5;7;5;5;3;5;4;1;2
25-29;17;17;24;21;21;11;20;16;14;13;17;9;8;11;10;8;8;11;9;14;10;10;10;10;11;6;5;5;6;4;4;6
30-34;37;35;28;24;28;41;26;20;28;29;22;26;21;25;21;21;29;20;17;21;22;17;22;16;10;27;16;19;9;14;22;14
35-39;53;50;55;59;59;55;59;73;61;57;56;61;56;55;37;37;42;39;40;39;29;15;38;30;40;25;38;31;45;30;34;18
40-44;97;104;82;91;98;102;101;105;121;127;117;91;111;104;123;110;86;81;88;80;79;60;81;77;64;79;69;53;55;58;53;49
45-49;169;155;174;163;181;167;154;177;154;186;184;215;202;180;205;226;207;191;174;190;168;172;144;151;152;135;136;142;132;109;119;102
50-54;316;303;355;321;253;296;268;290;300;286;309;276;246;270;271;304;316;304;309;358;317;377;311;347;306;280;258;267;253;235;256;246
55-59;465;480;520;444;520;494;461;469;480;390;461;400;410;380;409;335;368;354;396;355;403;451;485;510;502;509;478;523;502;424;448;413
60-64;515;519;508;564;561;594;683;691;689;615;662;609;661;597;569;492;517;538;523;507;506;477;535;504;506;547;579;650;657;662;677;659
65-69;387;401;414;563;571;625;657;668;720;769;753;771;785;811;822;748;723;755;707;683;687;671;710;660;734;636;640;613;662;619;739;819
70-74;620;566;487;453;405;391;491;503;619;684;697;696;747;799;850;860;831;875;950;892;900;849;894;916;870;892;836;804;817;854;851;842
75-79;643;606;620;642;604;612;581;528;456;407;410;472;571;618;681;722;765;797;849;834;876;911;972;980;1008;1035;1016;991;983;908;975;928
80+;564;611;648;626;658;684;803;820;884;819;869;894;938;833;769;867;894;981;978;1080;1116;1225;1329;1504;1565;1714;1781;1712;1936;1970;2028;2141
