Leto;Stevilo;Spol;Skupaj
1961;1599;M;5940
1962;2008;M;6979
1963;2363;M;7809
1964;2625;M;8607
1965;2919;M;9404
1966;3354;M;10404
1967;3685;M;11289
1968;3985;M;11980
1969;4227;M;12700
1970;4502;M;13424
1971;4784;M;14204
1972;5037;M;14905
1973;5335;M;15759
1974;5585;M;16610
1975;5892;M;17471
1976;6193;M;18149
1977;6479;M;19004
1978;6742;M;19762
1979;7069;M;20591
1980;7280;M;21320
1981;7794;M;22355
1982;8103;M;23075
1983;8314;M;23665
1984;8650;M;24440
1985;8927;M;25243
1986;9284;M;26155
1987;9511;M;26915
1988;9813;M;27789
1989;10301;M;28880
1990;10737;M;30047
1991;11160;M;31107
1992;11750;M;32526
1993;12294;M;33938
1994;12984;M;35511
1995;13685;M;37080
1996;14350;M;38808
1997;15285;M;40996
1998;16270;M;43333
1999;17349;M;45660
2000;18462;M;48082
2001;19813;M;50945
2002;21070;M;53810
2003;22422;M;56841
2004;24029;M;60238
2005;25648;M;63567
2006;27371;M;67066
2007;29124;M;70727
2008;31195;M;74612
2009;33206;M;78369
2010;35500;M;82747
2011;37957;M;86994
2012;40185;M;91115
2013;42331;M;95186
2014;44496;M;99233
2015;46705;M;103243
2016;48895;M;107513
1961;4341;Z;5940
1962;4971;Z;6979
1963;5446;Z;7809
1964;5982;Z;8607
1965;6485;Z;9404
1966;7050;Z;10404
1967;7604;Z;11289
1968;7995;Z;11980
1969;8473;Z;12700
1970;8922;Z;13424
1971;9420;Z;14204
1972;9868;Z;14905
1973;10424;Z;15759
1974;11025;Z;16610
1975;11579;Z;17471
1976;11956;Z;18149
1977;12525;Z;19004
1978;13020;Z;19762
1979;13522;Z;20591
1980;14040;Z;21320
1981;14561;Z;22355
1982;14972;Z;23075
1983;15351;Z;23665
1984;15790;Z;24440
1985;16316;Z;25243
1986;16871;Z;26155
1987;17404;Z;26915
1988;17976;Z;27789
1989;18579;Z;28880
1990;19310;Z;30047
1991;19947;Z;31107
1992;20776;Z;32526
1993;21644;Z;33938
1994;22527;Z;35511
1995;23395;Z;37080
1996;24458;Z;38808
1997;25711;Z;40996
1998;27063;Z;43333
1999;28311;Z;45660
2000;29620;Z;48082
2001;31132;Z;50945
2002;32740;Z;53810
2003;34419;Z;56841
2004;36209;Z;60238
2005;37919;Z;63567
2006;39695;Z;67066
2007;41603;Z;70727
2008;43417;Z;74612
2009;45163;Z;78369
2010;47247;Z;82747
2011;49037;Z;86994
2012;50930;Z;91115
2013;52855;Z;95186
2014;54737;Z;99233
2015;56538;Z;103243
2016;58618;Z;107513
