Leto;Stevilo;Spol;Skupaj
1985;2215;M;3917
1986;2121;M;3878
1987;2174;M;3938
1988;2293;M;3996
1989;2251;M;3991
1990;2278;M;4099
1991;2394;M;4339
1992;2427;M;4397
1993;2528;M;4550
1994;2435;M;4411
1995;2530;M;4588
1996;2528;M;4546
1997;2640;M;4783
1998;2658;M;4707
1999;2664;M;4792
2000;2666;M;4750
2001;2689;M;4802
2002;2812;M;4974
2003;2819;M;5060
2004;2819;M;5071
2005;2828;M;5131
2006;2918;M;5252
2007;3154;M;5551
2008;3155;M;5721
2009;3260;M;5786
2010;3264;M;5900
2011;3265;M;5863
2012;3264;M;5821
2013;3392;M;6071
2014;3310;M;5898
2015;3484;M;6216
2016;3524;M;6250
1985;1702;Z;3917
1986;1757;Z;3878
1987;1764;Z;3938
1988;1703;Z;3996
1989;1740;Z;3991
1990;1821;Z;4099
1991;1945;Z;4339
1992;1970;Z;4397
1993;2022;Z;4550
1994;1976;Z;4411
1995;2058;Z;4588
1996;2018;Z;4546
1997;2143;Z;4783
1998;2049;Z;4707
1999;2128;Z;4792
2000;2084;Z;4750
2001;2113;Z;4802
2002;2162;Z;4974
2003;2241;Z;5060
2004;2252;Z;5071
2005;2303;Z;5131
2006;2334;Z;5252
2007;2397;Z;5551
2008;2566;Z;5721
2009;2526;Z;5786
2010;2636;Z;5900
2011;2598;Z;5863
2012;2557;Z;5821
2013;2679;Z;6071
2014;2588;Z;5898
2015;2732;Z;6216
2016;2726;Z;6250
